Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,TotCases/ 1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
World,"108,416,629","132,147","2,381,578","4,252","80,605,048","25,430,003","100,035","13,909",305.5,,,
USA,"28,010,156","7,916","487,171",249,"17,932,117","9,590,868","20,407","84,318","1,467","330,424,655","994,660","332,198,570"
India,"10,880,794",381,"155,489",5,"10,589,230","136,075","8,944","7,837",112,"204,789,784","147,506",1388345614
Brazil,"9,716,298",,"236,397",,"8,643,693","836,208","8,318","45,512","1,107","28,600,000","133,964","213,489,750"
Russia,"4,042,837","15,089","79,194",507,"3,559,142","404,501","2,300","27,696",543,"106,000,000","726,161","145,973,128"
UK,"3,998,655",,"115,529",,"2,056,261","1,826,865","3,132","58,712","1,696","80,267,452","1,178,570","68,105,802"
France,"3,406,685",,"80,803",,"238,753","3,087,129","3,337","52,120","1,236","47,466,482","726,202","65,362,676"
Spain,"3,041,454",,"64,217",,N/A,N/A,"4,432","65,036","1,373","35,782,465","765,139","46,765,968"
Italy,"2,683,403",,"92,729",,"2,185,655","405,019","2,126","44,422","1,535","35,384,786","585,775","60,406,838"
Turkey,"2,564,427",,"27,187",,"2,453,096","84,144","1,256","30,206",320,"31,159,676","367,030","84,896,711"
Germany,"2,321,801",586,"64,575",62,"2,101,000","156,226","3,736","27,657",769,"41,758,675","497,428","83,949,242"
Colombia,"2,179,641",,"56,983",,"2,065,209","57,449","3,482","42,558","1,113","10,716,322","209,237","51,216,160"
Argentina,"2,008,345",,"49,874",,"1,806,260","152,211","3,541","44,187","1,097","6,690,005","147,192","45,450,837"
Mexico,"1,968,566","10,677","171,234","1,474","1,528,304","269,028","4,798","15,170","1,320","5,016,163","38,656","129,765,240"
Poland,"1,577,036","6,379","40,424",247,"1,330,127","206,485","1,277","41,697","1,069","9,128,691","241,366","37,820,979"
Iran,"1,503,753","7,298","58,809",58,"1,285,014","159,930","3,762","17,764",695,"9,938,625","117,405","84,652,766"
South Africa,"1,484,900",,"47,382",,"1,377,980","59,538",546,"24,845",793,"8,605,729","143,986","59,767,678"
Ukraine,"1,262,867","4,773","24,174",116,"1,106,155","132,538",177,"28,984",555,"6,447,576","147,979","43,570,894"
Peru,"1,212,309",,"43,045",,"1,124,236","45,028","2,047","36,457","1,294","6,767,793","203,521","33,253,561"
Indonesia,"1,201,859","9,869","32,656",275,"1,004,117","165,086",,"4,366",119,"9,933,751","36,083","275,301,041"
Czechia,"1,073,966","8,916","17,902",59,"955,938","100,126","1,075","100,172","1,670","6,853,674","639,261","10,721,248"
Netherlands,"1,021,643","4,341","14,727",65,N/A,N/A,534,"59,542",858,"6,970,400","406,241","17,158,277"
Canada,"817,163",,"21,088",,"758,328","37,747",672,"21,535",556,"22,720,596","598,766","37,945,719"
Portugal,"781,223","2,854","15,034",149,"652,739","113,450",846,"76,754","1,477","7,731,314","759,587","10,178,307"
Chile,"764,307",,"19,262",,"723,493","21,552","1,538","39,772","1,002","8,559,790","445,424","19,217,153"
Romania,"757,676","2,550","19,277",77,"703,966","34,433",973,"39,549","1,006","5,685,927","296,789","19,158,116"
Belgium,"733,100","2,149","21,551",39,"50,362","661,187",303,"63,086","1,855","8,778,942","755,456","11,620,726"
Israel,"718,746","3,934","5,304",21,"651,522","61,920","1,002","78,145",577,"11,358,022","1,234,891","9,197,590"
Iraq,"639,438","2,530","13,157",13,"604,822","21,459",259,"15,683",323,"6,151,665","150,875","40,773,246"
Sweden,"608,411",,"12,428",35,N/A,N/A,226,"60,013","1,226","5,510,486","543,545","10,138,058"
Pakistan,"560,363","1,270","12,218",33,"518,164","29,981","1,743","2,507",55,"8,360,823","37,406","223,514,389"
Philippines,"545,300","2,022","11,495",26,"500,654","33,151",807,"4,936",104,"8,246,989","74,650","110,475,954"
Switzerland,"540,727","1,253","9,739",10,"317,600","213,388",225,"62,198","1,120","4,674,340","537,677","8,693,588"
Bangladesh,"539,975",404,"8,253",5,"486,393","45,329",,"3,259",50,"3,822,345","23,068","165,698,028"
Morocco,"477,160",,"8,440",,"457,325","11,395",333,"12,834",227,"5,493,128","147,747","37,179,216"
Austria,"430,870","1,731","8,170",32,"408,426","14,274",262,"47,673",904,"4,786,728","529,619","9,038,063"
Serbia,"417,871","1,928","4,199",16,"31,536","382,136",129,"47,945",482,"2,753,786","315,961","8,715,576"
Japan,"411,751","1,739","6,774",96,"378,024","26,953",701,"3,262",54,"7,481,377","59,265","126,236,803"
Hungary,"383,735","1,860","13,543",99,"289,520","80,672",299,"39,785","1,404","3,338,289","346,110","9,645,171"
Saudi Arabia,"372,073",353,"6,424",4,"362,947","2,702",447,"10,586",183,"12,899,937","367,038","35,146,084"
Jordan,"343,563","1,579","4,433",12,"324,711","14,419",154,"33,468",432,"4,159,350","405,181","10,265,403"
UAE,"342,974","3,307",986,12,"323,191","18,797",,"34,422",99,"27,722,025","2,782,282","9,963,773"
Lebanon,"331,159",,"3,866",,"222,078","105,215",927,"48,653",568,"2,758,601","405,288","6,806,512"
Panama,"330,075",,"5,572",,"303,610","20,893",242,"75,768","1,279","1,770,793","406,482","4,356,382"
Slovakia,"273,904","2,431","5,733",104,"255,300","12,871",585,"50,154","1,050","1,881,532","344,522","5,461,276"
Nepal,"272,557",127,"2,054",2,"268,796","1,707",,"9,253",70,"2,111,649","71,685","29,457,453"
Belarus,"265,284","1,733","1,830",10,"254,032","9,422",,"28,080",194,"4,643,526","491,514","9,447,402"
Georgia,"264,665",507,"3,336",15,"256,684","4,645",,"66,425",837,"2,406,994","604,100","3,984,430"
Ecuador,"262,213",,"15,174",,"220,398","26,641",476,"14,725",852,"927,261","52,072","17,807,250"
Malaysia,"258,306","3,318",953,17,"205,774","51,579",258,"7,919",29,"5,474,691","167,830","32,620,507"
Croatia,"237,080",371,"5,282",19,"229,327","2,471",91,"57,972","1,292","1,255,786","307,070","4,089,573"
Bolivia,"233,854","1,352","11,044",48,"174,329","48,481",71,"19,867",938,"630,026","53,525","11,770,699"
Azerbaijan,"231,840",191,"3,173",3,"226,345","2,322",,"22,740",311,"2,485,483","243,785","10,195,388"
Bulgaria,"228,044",,"9,561",,"195,682","22,801",293,"32,973","1,382","1,502,690","217,277","6,915,998"
Dominican Republic,"227,764","1,050","2,917",13,"173,882","50,965",264,"20,867",267,"1,127,561","103,306","10,914,781"
Tunisia,"220,478",,"7,429",,"180,830","32,219",354,"18,536",625,"913,488","76,798","11,894,620"
